-55,96.40000,3.80,7.400,,964000.0,,2.424846
-50,67.06000,3.50,7.200,,670600.0,,2.414002
-45,47.08400,3.25,6.961,,470840.0,,2.399048
-40,33.66000,3.00,6.700,,336600.0,,2.379313
-35,24.28500,2.70,6.442,,242850.0,,2.353105
-30,17.70000,2.40,6.200,,177000.0,,2.318984
-25,13.03100,2.16,5.984,,130310.0,,2.275387
-20,9.71200,1.90,5.800,,97120.0,,2.221285
-15,7.29800,1.60,5.650,,72980.0,,2.154748
-10,5.53400,1.40,5.500,,55340.0,,2.075038
-5,4.23400,1.20,5.300,,42340.0,,1.981907
0,3.26600,1.00,5.100,,32660.0,,1.875692
5,2.54000,0.75,4.950,,25400.0,,1.757910
10,1.99000,0.50,4.800,,19900.0,,1.630602
15,1.57100,0.30,4.650,,15710.0,,1.497063
20,1.24900,0.10,4.500,,12490.0,,1.360627
25,1.00000,0.00,4.400,,10000.0,,1.225000
30,0.80580,0.20,4.300,,8058.0,,1.093261
35,0.65320,0.40,4.150,,6532.0,,0.968026
40,0.53260,0.60,4.000,,5326.0,,0.851409
45,0.43680,0.80,3.900,,4368.0,,0.744822
50,0.36020,1.00,3.800,,3602.0,,0.648794
55,0.29860,1.10,3.700,,2986.0,,0.563353
60,0.24880,1.20,3.600,,2488.0,,0.488117
65,0.20820,1.40,3.500,,2082.0,,0.422190
70,0.17510,1.60,3.400,,1751.0,,0.365071
75,0.14800,1.75,3.350,,1480.0,,0.315854
80,0.12560,1.90,3.300,,1256.0,,0.273383
85,0.10710,2.00,3.200,,1071.0,,0.237011
90,0.09164,2.10,3.100,,916.4,,0.205670
95,0.07874,2.25,3.000,,787.4,,0.178832
100,0.06792,2.40,2.900,,679.2,,0.155821
105,0.05880,2.50,2.850,,588.0,,0.136060
110,0.05108,2.60,2.800,,510.8,,0.119064
115,0.04452,2.75,2.750,,445.2,,0.104425
120,0.03894,2.90,2.700,,389.4,,0.091827
125,0.03416,3.00,2.600,,341.6,,0.080928
130,0.03006,3.10,2.500,,300.6,,0.071498
135,0.02653,3.25,2.440,,265.3,,0.063319
140,0.02348,3.40,2.400,,234.8,,0.056206
145,0.02084,3.47,2.353,,208.4,,0.050016
150,0.01854,3.50,2.300,,185.4,,0.044596
